Stock-ID,Timestamp,Actual Price,Mean,Deviation,% Deviation
NMR,15-11-2023,7.2,7.481333333333334,-0.28133333333333344,-140.59%
NMR,16-11-2023,7.28,7.481333333333334,-0.20133333333333336,-100.61%
